fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2019/04,,,,4.1,3.3
2019/05,26.095819,67.3,18.6,99.4,100.0
2019/06,28.072824,57.3,20.5,100.0,100.0
2019/07,27.12789,69.6,21.2,100.0,100.0
2019/08,,,,40.9,38.7
2019/09,,,,38.3,36.7
2019/10,22.161628,39.694897,19.383448,100.0,100.0
2019/11,21.651918,24.476664,20.042585,100.0,100.0
2019/12,21.77236,25.115791,19.782927,100.0,100.0
2020/01,21.818353,24.856146,20.002638,100.0,100.0
2020/02,21.838866,26.793484,20.402115,100.0,100.0
2020/03,21.6166,23.797585,19.922743,100.0,100.0
2020/04,21.963804,27.292789,20.102507,100.0,100.0
2020/05,22.69926,27.612345,20.342194,100.0,100.0
2020/06,25.027352,48.301861,20.681746,100.0,100.0
2020/07,26.303227,50.13903,21.880159,100.0,100.0
2020/08,24.441373,37.997417,18.8,96.7,96.8
2020/09,25.069878,49.0,21.380821,100.0,100.0
2020/10,21.899484,25.055872,19.742979,100.0,100.0
2020/11,21.50668,42.131248,19.383448,100.0,100.0
2020/12,20.580844,27.372679,18.165026,100.0,100.0
2021/01,21.336999,29.489714,19.242344,100.0,100.0
2021/02,21.215606,27.570948,19.082556,100.0,100.0
2021/03,24.293852,45.105057,20.041283,100.0,100.0
2021/04,24.007946,51.075844,20.32091,100.0,100.0
2021/05,26.949685,45.923801,22.95735,100.0,100.0
2021/06,26.431227,56.4,21.8,100.0,100.0
2021/07,26.492497,78.6,21.7,100.0,100.0
2021/08,23.349886,30.406912,20.8,100.0,100.0
2021/09,25.116606,88.3,19.7,100.0,100.0
2021/10,21.314942,27.0,19.1,100.0,100.0
2021/11,19.725301,27.4,17.6,100.0,100.0
2021/12,19.468078,29.7,17.2,100.0,100.0
2022/01,18.392025,20.3,17.4,100.0,100.0
2022/02,18.113368,21.9,17.3,100.0,100.0
2022/03,18.16595,22.4,17.1,100.0,100.0
2022/04,18.550232,27.8,17.2,100.0,100.0
2022/05,,,,37.0,35.5
